ride_id,ride_date,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,pickup_time,dropoff_time,weather_condition
1,2024-11-23,14.821188,120.27866,14.817808,120.284536,17:14:08,17:19:58,Partly Cloudy
2,2024-10-28,14.836718,120.278045,14.887787,120.237107,17:44:27,18:18:58,Cloudy
3,2024-10-09,14.839244,120.284392,14.819254,120.284125,18:36:12,18:50:11,Partly Cloudy
4,2024-12-15,14.822963,120.287479,14.835754,120.281792,20:40:10,20:48:25,Clear
5,2024-01-17,14.833106,120.281956,14.851268,120.262787,14:17:04,14:29:47,Clear
6,2024-10-14,14.80592,120.32281,14.818245,120.281613,18:57:37,19:28:36,Thunderstorm with Hail
7,2024-09-27,14.820576,120.284222,14.819094,120.283982,17:43:46,17:47:32,Fog
8,2024-02-24,14.829612,120.298775,14.87773,120.232727,12:53:40,13:27:15,Clear
9,2024-07-04,14.835776,120.282372,14.849188,120.253847,12:15:03,12:33:04,Rain Showers
10,2024-03-25,14.826877,120.272743,14.84102,120.286626,18:13:59,18:28:29,Clear
11,2024-04-22,14.841448,120.286716,14.840186,120.285667,17:14:04,17:18:12,Clear
12,2024-02-19,14.824716,120.281099,14.848306,120.254794,13:27:26,13:39:28,Clear
13,2024-08-17,14.840319,120.283762,14.821846,120.273108,07:15:55,07:29:14,Partly Cloudy
14,2024-07-24,14.873619,120.234936,14.824358,120.277693,10:24:00,10:52:55,Mostly Clear
15,2024-05-31,14.85171,120.256212,14.842539,120.287585,08:34:03,08:49:34,Clear
16,2024-10-18,14.824122,120.279545,14.824743,120.283153,19:05:26,19:10:02,Clear
17,2024-11-14,14.833523,120.281834,14.825161,120.277077,09:04:34,09:09:48,Drizzle
18,2024-11-30,14.765074,120.293474,14.851581,120.25685,19:19:59,20:23:00,Cloudy
19,2024-01-27,14.828691,120.287378,14.82912,120.287167,07:02:00,07:04:44,Mostly Clear
20,2024-10-09,14.848718,120.2904,14.824724,120.277693,07:23:57,07:37:45,Partly Cloudy
21,2024-03-24,14.824572,120.280915,14.820798,120.27464,10:56:26,11:02:27,Clear
22,2024-01-20,14.868308,120.291625,14.842563,120.288174,11:12:52,11:25:27,Cloudy
23,2024-06-28,14.823675,120.287989,14.851728,120.263838,14:43:53,15:03:41,Light Rain
24,2024-06-09,14.85712,120.289776,14.836186,120.282621,17:24:57,17:42:56,Partly Cloudy
25,2024-06-09,14.805648,120.322981,14.836436,120.290303,09:46:57,10:02:24,Heavy Rain
